user_id,feature_name,adopted
100000,advanced_chart,0
100000,auto_invest,0
100000,news_feed,1
100001,advanced_chart,0
100001,auto_invest,0
100001,news_feed,1
100002,advanced_chart,0
100002,auto_invest,1
100002,news_feed,0
100003,advanced_chart,0
100003,auto_invest,0
100003,news_feed,0
100004,advanced_chart,1
100004,auto_invest,0
100004,news_feed,0
100005,advanced_chart,0
100005,auto_invest,0
100005,news_feed,1
100006,advanced_chart,0
100006,auto_invest,1
100006,news_feed,1
100007,advanced_chart,0
100007,auto_invest,1
100007,news_feed,0
100008,advanced_chart,0
100008,auto_invest,0
100008,news_feed,1
100009,advanced_chart,1
100009,auto_invest,0
100009,news_feed,1
100010,advanced_chart,0
100010,auto_invest,0
100010,news_feed,0
100011,advanced_chart,1
100011,auto_invest,1
100011,news_feed,0
100012,advanced_chart,0
100012,auto_invest,0
100012,news_feed,0
100013,advanced_chart,0
100013,auto_invest,1
100013,news_feed,0
100014,advanced_chart,0
100014,auto_invest,0
100014,news_feed,1
100015,advanced_chart,1
100015,auto_invest,0
100015,news_feed,1
100016,advanced_chart,0
100016,auto_invest,0
100016,news_feed,0
100017,advanced_chart,0
100017,auto_invest,0
100017,news_feed,1
100018,advanced_chart,1
100018,auto_invest,1
100018,news_feed,0
100019,advanced_chart,0
100019,auto_invest,1
100019,news_feed,0
100020,advanced_chart,0
100020,auto_invest,0
100020,news_feed,1
100021,advanced_chart,0
100021,auto_invest,0
100021,news_feed,1
100022,advanced_chart,0
100022,auto_invest,0
100022,news_feed,0
100023,advanced_chart,0
100023,auto_invest,1
100023,news_feed,0
100024,advanced_chart,0
100024,auto_invest,1
100024,news_feed,1
100025,advanced_chart,1
100025,auto_invest,0
100025,news_feed,0
100026,advanced_chart,1
100026,auto_invest,1
100026,news_feed,0
100027,advanced_chart,0
100027,auto_invest,0
100027,news_feed,1
100028,advanced_chart,0
100028,auto_invest,0
100028,news_feed,0
100029,advanced_chart,1
100029,auto_invest,1
100029,news_feed,0
100030,advanced_chart,1
100030,auto_invest,1
100030,news_feed,0
100031,advanced_chart,0
100031,auto_invest,0
100031,news_feed,1
100032,advanced_chart,0
100032,auto_invest,1
100032,news_feed,1
100033,advanced_chart,0
100033,auto_invest,1
100033,news_feed,0
100034,advanced_chart,0
100034,auto_invest,1
100034,news_feed,1
100035,advanced_chart,0
100035,auto_invest,1
100035,news_feed,1
100036,advanced_chart,0
100036,auto_invest,1
100036,news_feed,0
100037,advanced_chart,0
100037,auto_invest,0
100037,news_feed,1
100038,advanced_chart,1
100038,auto_invest,0
100038,news_feed,0
100039,advanced_chart,1
100039,auto_invest,0
100039,news_feed,1
100040,advanced_chart,1
100040,auto_invest,0
100040,news_feed,1
100041,advanced_chart,0
100041,auto_invest,1
100041,news_feed,1
100042,advanced_chart,1
100042,auto_invest,0
100042,news_feed,1
